id,car_name,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
34,Chevrolet_Equinox_(Mk3f)_Premier_2020,0.004,0.159,-0.024,0.099,0.092,0.004,0.107,-0.008,0.155,0.0,0.04862,1.074,0.0,-0.231,0.03,0.02,-0.053,0.0,0.0,0.136,0.011,0.231046931,0.077,-0.001,0.035,-0.016,0.002,-0.021,-0.078,2.714285714,2.619047619,4.047619048,3.714285714,3.19047619,3.761904762,3.571428571,3.714285714,3.619047619,3.857142857,4.761904762,4.285714286,3.80952381,4.761904762
35,Chevrolet_Tahoe_(Mk5)_(GMT1YC)_Z71_2020,0.144,0.163,-0.007,0.044,0.023,-0.119,0.1,-0.038,-0.074,0.0,0.05832,1.094,0.0,-0.253,0.144,-0.056,-0.287,-0.026,0.05,0.134,0.005,0.353810082,0.002,-0.045,0.028,-0.035,0.082,0.046,0.021,1.125,1.25,1.666666667,3.083333333,1.833333333,4.625,4.75,2.75,3.125,2.166666667,3.166666667,2.958333333,3.666666667,3.416666667
36,Ford_Bronco_Sport_2021,-0.032,0.255,0.025,0.047,0.072,-0.03,0.054,-0.033,-0.183,0.0,0.0718,1.002,0.0,0.072,-0.194,-0.124,0.1,0.0,0.0,0.65,0.0,0.746590909,0.012,-0.006,0.033,-0.061,-0.016,0.102,-0.01,2.526315789,2.526315789,1.842105263,3.263157895,2.052631579,4.526315789,4.473684211,3.684210526,4.210526316,3.473684211,4.210526316,4.210526316,4.368421053,4.0
37,Genesis_GV70_2021,0.111,-0.042,-0.031,-0.06,-0.023,-0.062,0.059,-0.041,-0.06,0.0,0.057615,0.995,0.0,0.024,-0.072,-0.168,-0.053,0.0,0.0,0.228,0.019,0.244791667,-0.003,-0.016,-0.049,-0.031,-0.026,0.019,-0.014,3.916666667,3.375,4.666666667,4.25,4.0,4.208333333,4.083333333,3.0,3.5,3.166666667,3.916666667,3.541666667,3.5,3.958333333
38,Genesis_GV80_2020,0.122,0.08,-0.048,0.102,-0.002,0.006,0.073,-0.021,-0.119,0.0,0.071615,1.029,-0.115,0.075,0.047,-0.08,-0.105,0.0,0.0,0.258,0.024,0.686857143,0.026,-0.026,-0.001,-0.051,0.006,0.009,-0.063,2.15,2.4,3.65,4.3,3.15,3.7,4.25,2.8,2.9,2.35,3.7,3.05,3.65,4.0
39,GMC_Terrain_(Mk2f)_SLT_2022,0.049,0.141,-0.046,0.065,0.028,0.003,0.025,-0.002,0.008,0.0,0.06224,1.067,0.0,-0.138,0.046,-0.035,-0.061,-0.084,0.073,-0.096,0.0,0.569918699,-0.014,-0.051,0.056,0.001,0.018,-0.009,-0.027,2.1875,2.3125,3.0,3.5,2.75,4.5625,3.75,3.25,4.0,3.375,4.1875,3.8125,4.125,4.3125
40,Honda_CR-V_(Mk5)_Touring_2017,0.058,0.13,-0.039,0.108,-0.028,-0.027,0.184,-0.013,0.032,0.0,0.050255,1.044,0.0,-0.033,-0.038,-0.038,-0.07,0.0,0.0,0.171,0.017,0.031279621,-0.024,-0.072,0.014,-0.011,0.018,-0.003,-0.075,2.791666667,2.833333333,3.458333333,3.25,3.0,4.375,3.208333333,3.833333333,3.833333333,4.5,4.833333333,4.208333333,4.166666667,5.083333333
41,Hyundai_Ioniq_5_2022,0.219,-0.194,-0.017,0.07,0.067,0.001,0.075,-0.011,0.218,0.0,0.058315,1.005,0.0,-0.267,-0.049,-0.128,0.128,0.0,0.0,-0.302,0.0,0.574394464,-0.03,-0.006,-0.073,0.007,-0.025,0.033,0.009,4.0,3.941176471,3.705882353,3.941176471,3.705882353,3.529411765,4.823529412,3.235294118,4.0,3.176470588,3.882352941,3.705882353,4.470588235,3.588235294
42,Jeep_Grand_Cherokee_(Mk5)_(WL)_L_Summit_2021,0.043,0.181,-0.019,-0.043,-0.02,0.007,0.124,-0.008,0.037,0.0,0.05154,1.092,0.0,-0.217,0.144,-0.093,-0.222,-0.044,0.078,0.582,0.034,0.396572827,0.028,0.02,0.006,-0.005,0.034,0.04,-0.009,1.583333333,1.625,2.625,2.875,2.0,4.166666667,4.166666667,3.0,3.0,2.166666667,3.708333333,3.166666667,3.291666667,3.791666667
43,Lexus_LX_(Mk3f)_(J200)_2016,0.139,0.146,-0.012,0.088,0.017,-0.064,0.107,-0.048,-0.07,0.0,0.06199,1.099,0.0,-0.098,0.098,0.02,-0.218,-0.048,0.041,0.543,0.025,0.490830946,-0.02,-0.007,0.075,-0.022,0.003,0.011,-0.027,1.315789474,1.210526316,2.947368421,3.578947368,2.315789474,4.210526316,4.368421053,3.210526316,2.263157895,2.210526316,3.263157895,2.736842105,3.526315789,3.315789474
44,Maserati_Levante_2017,0.062,-0.184,-0.047,0.073,0.047,-0.098,0.057,-0.058,-0.009,0.0,0.0343,1.071,-0.104,0.045,0.076,-0.041,-0.1,0.0,0.0,0.156,0.015,0.452972973,0.023,-0.022,-0.019,0.009,0.005,-0.01,-0.041,4.0,3.727272727,5.272727273,5.136363636,4.136363636,4.181818182,4.954545455,2.5,2.818181818,2.5,3.181818182,2.909090909,4.318181818,3.136363636
45,Mazda_CX-30_2020,0.068,-0.006,-0.008,0.074,0.025,-0.001,-0.026,-0.07,0.084,0.0,0.05587,0.976,0.0,0.027,-0.154,-0.026,0.141,-0.02,0.044,0.205,0.013,0.791623037,-0.027,-0.035,-0.056,-0.001,-0.031,0.014,-0.003,4.333333333,4.047619048,4.857142857,3.761904762,4.666666667,3.857142857,3.285714286,3.428571429,3.904761905,3.952380952,4.571428571,4.666666667,3.714285714,4.714285714
46,Nio_ES8_2018,0.103,0.103,-0.046,0.044,0.018,-0.025,0.038,-0.023,0.071,0.0,0.062975,1.036,0.0,-0.143,0.082,-0.061,-0.125,-0.046,0.062,-0.044,0.013,0.205114401,0.011,0.008,0.001,-0.038,-0.017,0.019,0.018,3.2,2.84,3.72,3.6,3.36,4.08,4.0,3.2,3.84,3.32,4.72,4.0,3.88,4.48
47,Nissan_Patrol_(Mk6f)_(Y62)_Ti_2020,0.026,0.289,0.003,0.105,0.017,-0.008,0.101,0.157,-0.128,0.0,0.04921,1.118,0.0,-0.151,0.09,-0.066,-0.142,0.0,0.0,0.124,0.003,0.53608522,-0.026,-0.01,0.038,-0.068,0.053,0.117,0.043,1.772727273,1.818181818,1.909090909,2.590909091,1.772727273,3.772727273,3.727272727,3.363636364,3.636363636,3.0,4.409090909,3.454545455,3.590909091,4.727272727
48,Opel_Mokka_(Mk2)_e_2021,0.082,-0.075,-0.002,0.088,0.056,-0.083,0.119,-0.039,-0.012,0.0,0.0396,0.957,0.0,0.013,-0.261,-0.116,0.196,0.0,0.0,-0.113,0.0,0.731856899,-0.016,-0.082,-0.078,-0.004,-0.008,-0.028,-0.07,4.157894737,3.684210526,4.052631579,3.894736842,3.789473684,4.526315789,3.947368421,4.578947368,5.052631579,4.315789474,4.947368421,4.789473684,4.526315789,4.842105263
49,Porsche_Cayenne_(Mk3)_S_2017,0.017,-0.081,-0.03,0.074,0.073,-0.07,0.022,0.087,0.031,0.0,0.03546,1.052,-0.024,-0.045,0.05,0.016,-0.056,0.0,0.0,0.149,0.012,0.68372093,0.022,-0.035,0.043,-0.008,-0.064,0.036,-0.005,4.05,4.0,4.45,4.55,4.35,3.6,4.85,3.3,2.65,2.5,3.55,3.6,3.95,3.65
50,Renault_Triber_2020,-0.001,0.173,0.003,0.071,0.013,-0.018,0.068,-0.049,0.045,0.0,0.061745,0.971,0.0,-0.297,-0.175,-0.227,0.178,0.0,0.0,0.283,0.011,0.459531773,-0.023,0.021,0.015,0.028,0.013,0.035,-0.051,4.375,3.9375,4.8125,3.8125,4.3125,4.3125,3.0625,5.25,5.0,5.1875,5.4375,5.375,5.125,5.75
51,Toyota_bZ4X_2021,0.077,-0.247,-0.002,0.052,0.024,0.045,0.013,-0.052,0.172,0.0,0.02258,1.117,0.0,-0.25,0.028,-0.045,-0.005,0.0,0.0,0.036,0.002,0.413647059,-0.027,-0.045,-0.017,0.002,0.014,0.081,-0.047,3.272727273,3.272727273,3.772727273,3.954545455,3.409090909,4.090909091,4.181818182,3.181818182,3.590909091,3.272727273,4.363636364,3.681818182,4.136363636,4.181818182
52,Toyota_C-HR_(Mk1f)_2019,0.247,-0.22,-0.031,0.074,0.012,-0.006,0.074,-0.054,0.175,0.0,0.060475,1.024,0.0,-0.136,-0.072,0.011,0.111,0.0,0.0,-0.182,0.0,0.447554348,-0.002,-0.051,-0.037,0.068,0.027,0.016,-0.027,3.947368421,3.421052632,4.526315789,4.473684211,4.0,5.105263158,3.684210526,4.210526316,5.105263158,5.0,5.105263158,4.947368421,4.736842105,4.894736842
53,Toyota_Land_Cruiser_(Mk9)_(J300)_GR-S_2021,0.037,0.29,-0.003,0.099,0.023,-0.058,0.083,-0.024,-0.144,0.0,0.073795,1.072,0.0,-0.04,0.034,-0.075,-0.186,-0.066,0.077,1.131,0.038,0.5240625,0.041,0.035,-0.009,-0.018,0.121,0.051,-0.026,1.545454545,1.590909091,2.045454545,2.909090909,1.727272727,4.772727273,4.136363636,3.272727273,3.045454545,2.272727273,3.636363636,3.272727273,3.545454545,3.590909091
