carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29
cx5_059,cx5_059,0.318191355,-0.030871465,0.1,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.05,-0.018,0.05,0.05,-0.02,-0.02,0.034,0.018,-0.08,0.018,-0.6,-0.05,0.0,0.02,0.034,0.034,0.05,0.018
cx5_060,cx5_060,0.317006863,-0.044380683,0.2,0.08,-0.016,0.0,0.08,0.0,-0.02,0.04,0.04,-0.02,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.04,0.034,0.016,0.06,0.016,-0.58,-0.05,-0.05,0.02,0.018,0.034,0.05,-0.016
cx5_061,cx5_061,0.322045422,-0.044574321,0.2,0.08,-0.016,-0.05,0.14,-0.05,-0.04,0.04,-0.02,-0.02,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.034,0.018,-0.08,0.034,0.4,0.0,-0.052,0.02,0.018,0.018,0.0,0.018
cx5_062,cx5_062,0.318044623,-0.058622544,0.2,0.14,-0.018,-0.05,0.08,-0.052,0.04,-0.02,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.054,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.012,-0.05,0.02,0.034,0.018,0.05,-0.016
cx5_063,cx5_063,0.31441755,-0.034833049,0.1,0.08,-0.034,-0.05,0.08,-0.052,-0.02,0.04,0.04,-0.01,0.0698,1.05,-0.016,0.05,0.05,-0.04,-0.02,0.034,0.018,-0.06,0.034,-0.6,-0.05,0.0,0.02,0.034,0.034,0.05,0.018
cx5_064,cx5_064,0.320478289,-0.044370846,0.2,0.08,-0.016,0.0,0.08,-0.008,-0.02,-0.02,0.04,-0.016,0.075,1.05,-0.034,0.05,-0.05,-0.02,0.04,0.018,0.034,0.06,0.016,0.4,-0.05,-0.05,0.02,0.034,0.034,0.05,-0.016
cx5_065,cx5_065,0.31029394,-0.071897174,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.05,-0.05,0.02,0.034,0.014,0.05,-0.016
cx5_066,cx5_066,0.311068985,-0.025257229,0.1,0.08,-0.034,0.0,0.14,0.0,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,-0.05,-0.05,0.04,0.04,0.018,0.034,-0.06,0.034,-0.56,0.0,-0.05,-0.02,0.018,0.018,0.05,0.018
cx5_067,cx5_067,0.310655303,-0.049244085,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,0.38,-0.05,-0.05,0.02,0.034,0.034,0.05,0.016
cx5_068,cx5_068,0.310038387,-0.041633792,0.1,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,0.018
cx5_069,cx5_069,0.312376588,-0.058584462,0.1,0.08,-0.016,-0.05,0.06,0.0,0.04,-0.04,-0.04,-0.01,0.075,1.0,-0.034,0.048,0.05,0.04,-0.02,0.018,0.018,0.06,0.034,-0.6,-0.05,0.0,-0.02,0.018,0.018,0.05,0.018
cx5_070,cx5_070,0.317600717,-0.040195975,0.1,0.08,-0.034,-0.05,0.14,-0.058,-0.02,0.04,0.04,-0.02,0.075,1.052,-0.018,0.05,-0.05,-0.02,-0.02,0.014,0.018,-0.06,0.018,-0.6,0.0,0.0,-0.008,0.034,0.018,0.05,0.018
cx5_071,cx5_071,0.314083489,-0.05802784,0.2,0.08,-0.036,0.0,0.06,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.05,0.004,-0.02,0.016,0.034,0.0,0.016
cx5_072,cx5_072,0.311874609,-0.057591937,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,-0.048,0.04,-0.02,0.018,0.016,-0.06,0.034,0.4,-0.05,0.0,-0.02,0.016,0.034,0.0,0.018
cx5_073,cx5_073,0.314041778,-0.05735922,0.2,0.06,-0.018,-0.05,0.08,-0.052,0.04,-0.02,0.04,-0.02,0.075,1.0,-0.018,-0.046,0.052,0.04,-0.02,0.034,0.036,-0.06,0.034,0.4,-0.05,-0.05,0.02,0.034,0.018,0.05,-0.018
cx5_074,cx5_074,0.306925486,-0.032885644,0.1,0.06,-0.018,-0.05,0.08,0.0,-0.02,0.04,0.04,-0.01,0.0698,1.05,-0.016,0.05,0.048,0.04,-0.02,0.018,0.034,-0.06,0.018,-0.6,-0.05,-0.05,0.02,0.018,0.032,0.05,0.018
cx5_075,cx5_075,0.317209858,-0.05428719,0.2,0.14,-0.016,0.0,0.14,-0.05,0.04,-0.02,-0.02,-0.02,0.0754,1.008,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.032,0.0,0.016
cx5_076,cx5_076,0.31510502,-0.04630856,0.2,0.08,-0.034,0.0,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.075,1.05,-0.034,0.05,-0.05,0.04,0.04,0.034,0.034,-0.06,0.034,0.4,-0.052,-0.05,0.02,0.016,0.032,0.05,0.018
cx5_077,cx5_077,0.320746608,-0.048944256,0.2,0.14,-0.016,-0.05,0.14,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.034,-0.08,0.034,-0.6,0.0,0.0,-0.02,0.034,0.018,0.0,-0.018
cx5_078,cx5_078,0.306066344,-0.027679149,0.1,0.06,-0.034,0.0,0.06,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.05,0.018
cx5_079,cx5_079,0.303637425,-0.032516958,0.1,0.08,-0.034,0.0,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0744,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.016,0.05,0.018
cx5_080,cx5_080,0.31521514,-0.036161859,0.1,0.08,-0.034,0.0,0.08,-0.05,-0.02,0.04,-0.02,-0.01,0.075,1.05,-0.016,0.05,0.05,-0.02,-0.02,0.018,0.034,-0.06,0.018,-0.6,-0.05,0.0,0.02,0.034,0.034,0.054,0.018
cx5_081,cx5_081,0.317770466,-0.054157292,0.2,0.14,-0.034,-0.004,0.08,-0.002,0.04,-0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,0.04,0.018,0.016,-0.06,0.034,0.4,-0.05,-0.05,0.02,0.016,0.018,0.05,-0.016
cx5_082,cx5_082,0.321242435,-0.044618811,0.2,0.06,-0.034,-0.05,0.14,-0.05,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.04,0.018,0.034,0.06,0.018,-0.6,0.0,0.0,0.02,0.036,0.018,0.0,0.018
cx5_083,cx5_083,0.321003019,-0.055892042,0.2,0.14,-0.016,-0.05,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,-0.04,0.04,0.018,0.034,-0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.018,-0.002,-0.016
cx5_084,cx5_084,0.319899364,-0.040320924,0.2,0.14,-0.034,0.0,0.14,-0.05,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.056,0.04,0.04,0.018,0.016,0.06,0.018,0.4,0.0,-0.05,0.02,0.034,0.018,0.0,-0.018
